id,title,content_type
1,基本文法の使い方,grammar
2,熟語の意味覚え方,vocabulary
3,英語のリスニング練習,listening
4,フレーズで身につけるスピーキング,speaking
5,動詞の使い方をマスター,grammar
6,ビジネス英会話のフレーズ集,vocabulary
7,スピーキング力アップのトレーニング,speaking
8,英語のニュースを聞きながら学ぶ,listening
9,状況別で覚える英会話フレーズ,vocabulary
10,英語音声書き起こしトレーニング,listening
11,シチュエーション別に学ぶ日常英会話,speaking
12,TOEICのリーディング攻略法,grammar
13,英単語暗記の効果的な方法,vocabulary
14,TEDトークを使った英語学習,listening
15,自己紹介やプレゼンの英語フレーズ,speaking
16,英語の動詞の使い分けを覚える,grammar
17,海外旅行に役立つ英単語集,vocabulary
18,TOEICスコアを伸ばすためのリスニング,listening
19,フレーズを組み合わせた英会話の表現,speaking
20,文法が苦手でも大丈夫な英語学習法,grammar
21,難しい英単語の発音のコツ,vocabulary
22,映画を見て英語学習する方法,listening
23,英語でのビジネスメールの書き方,speaking
24,英語の前置詞の正しい使い方,grammar
25,日本人が間違いやすい英単語の使い方,vocabulary
26,英語での電話応対の仕方,speaking
27,英語のスピーキング力を向上させるトレーニング,listening
28,英語でのプレゼンテーションのコツ,speaking
29,英語の文法でよく出る例文,grammar
30,TOEICのリスニングの注意点,listening
